"wand_identifier","session_id","activity_session_id","activity_id","seconds"
MW-23SF-4LYV-FZ6L,"19","3",ALZ_Story_Activity,31
MW-23SF-4LYV-FZ6L,"19","4",ALZ_P0000,55
MW-23SF-4LYV-FZ6L,"19","5",ALZ_Story_Activity,180
MW-23SF-4LYV-FZ6L,"19","6",ALZ_P1415,8
MW-23SF-4LYV-FZ6L,"19","7",ALZ_Story_Activity,88
MW-23SF-4LYV-FZ6L,"19","8",ALZ_P3031,88
MW-23SF-4LYV-FZ6L,"19","9",ALZ_Story_Activity,25
MW-23SF-4LYV-FZ6L,"19","10",ALZ_P3031,124
MW-23SF-4LYV-FZ6L,"19","11",ALZ_Story_Activity,28
MW-23SF-4LYV-FZ6L,"19","12",ALZ_P2021,97
MW-23SF-4LYV-FZ6L,"19","13",ALZ_Story_Activity,15
MW-23SF-4LYV-FZ6L,"19","15",ALZ_Story_Activity,30
MW-23SF-4LYV-FZ6L,"19","16",ALZ_P0203,6
MW-23SF-4LYV-FZ6L,"19","17",ALZ_Story_Activity,200
MW-23SF-7YW8-SM4M,"27","5",ALZ_Story_Activity,37
MW-23SF-7YW8-SM4M,"27","6",ALZ_P0001,106
MW-23SF-7YW8-SM4M,"27","7",ALZ_Story_Activity,67
MW-23SF-P7MW-A45Q,"19","3",ALZ_Story_Activity,99
MW-23SF-P7MW-A45Q,"19","4",ALZ_P0203,77
MW-23SF-P7MW-A45Q,"19","5",ALZ_Story_Activity,32
MW-23SF-P7MW-A45Q,"19","6",ALZ_P0405,111
MW-23SF-8Q8M-A58Z,"18","4",ALZ_P0001,15
MW-23SF-8Q8M-A58Z,"18","5",ALZ_Story_Activity,34
MW-23SF-P7MW-A45Q,"19","7",ALZ_Story_Activity,107
MW-23SF-8Q8M-A58Z,"18","7",ALZ_Story_Activity,425
MW-23SF-8Q8M-A58Z,"18","8",ALZ_P3031,149
MW-23SF-4LYV-FZ6L,"23","3",ALZ_Story_Activity,162
MW-23SF-2J41-AR89,"21","6",ALZ_P2627,161
MW-23SF-4LYV-FZ6L,"23","4",ALZ_P0405,85
MW-23SF-2J41-AR89,"21","7",ALZ_Story_Activity,19
MW-23SF-4LYV-FZ6L,"23","5",ALZ_Story_Activity,129
MW-23SF-2J41-AR89,"23","3",ALZ_Story_Activity,29
MW-23SF-2J41-AR89,"23","4",ALZ_P0000,34
MW-23SF-2J41-AR89,"23","5",ALZ_Story_Activity,18
MW-23SF-2J41-AR89,"23","6",ALZ_P0001,99
MW-23SF-2J41-AR89,"23","7",ALZ_Story_Activity,46
MW-23SF-4LYV-FZ6L,"24","3",ALZ_Story_Activity,38
MW-23SF-4LYV-FZ6L,"24","4",ALZ_P0000,28
MW-23SF-4LYV-FZ6L,"24","5",ALZ_Story_Activity,1
MW-23SF-4LYV-FZ6L,"25","3",ALZ_Story_Activity,105
MW-23SF-4LY8-UJWX,"21","3",ALZ_Story_Activity,41
MW-23SF-4LY8-UJWX,"21","4",ALZ_P0000,49
MW-23SF-4LY8-UJWX,"21","5",ALZ_Story_Activity,24
MW-23SF-4LY8-UJWX,"21","6",ALZ_P0001,68
MW-23SF-2J41-AR89,"24","3",ALZ_Story_Activity,14
MW-23SF-4LY8-UJWX,"21","7",ALZ_Story_Activity,52
MW-23SF-4LYV-FZ6L,"25","7",ALZ_Story_Activity,538
MW-23SF-2J41-AR89,"24","4",ALZ_P0000,36
MW-23SF-2J41-AR89,"24","5",ALZ_Story_Activity,7
MW-23SF-2J41-AR89,"24","6",ALZ_P0001,120
MW-23SF-4LY8-UJWX,"21","8",ALZ_P0405,92
MW-23SF-4LY8-UJWX,"21","9",ALZ_Story_Activity,31
MW-23SF-2J41-AR89,"24","7",ALZ_Story_Activity,10
MW-23SF-4LY8-UJWX,"21","10",ALZ_P0607,74
MW-23SF-2J41-AR89,"24","9",ALZ_Story_Activity,56
MW-23SF-4LY8-UJWX,"21","11",ALZ_Story_Activity,34
MW-23SF-2J41-AR89,"24","10",ALZ_P0001,76
