activity_id,action,action_data,Wand Count,Event Count,Events/Wand
1,wand_activity_start,ALZ_Story_Activity.wact,1,17,
1,wand_activity_start,GSG_P1011.wact,6,15,
2,wand_activity_start,ALZ_P0001.wact,1,1,
2,wand_activity_start,ALZ_P1011.wact,1,2,
2,wand_activity_start,ALZ_P2829.wact,1,1,
2,wand_activity_start,ALZ_P3031.wact,1,4,
AFG_P2223,activity_answer,"{""a"":""input_auto""}",1,2,
AFG_P2223,activity_answer,"{""a"":""input_large""}",1,1,
AFG_P2223,activity_answer,"{""a"":""target_obj_fly_guy_right""}",1,1,
AFG_P2223,activity_back_button,,1,1,
AFG_P2223,activity_iap,"{""ts"":""timers_pointableModeIAPs"",""ti"":0}",1,2,
AFG_P2223,activity_iap,"{""ts"":""timers_pointableModeIntro_IAPs"",""ti"":0}",1,1,
AFG_P2223,activity_inference,"{""l"":""afg_p2223_obj_flyguy5""}",1,1,1.00
AFG_P2223,activity_inference,"{""l"":""afg_p2223_obj_garbage1""}",1,1,1.00
AFG_P2223,activity_inference_start,"{""m"":""afg_p2223""}",1,2,
AFG_P2223,activity_input,"{""i"":""input_auto""}",1,2,
AFG_P2223,activity_input,"{""i"":""input_large""}",1,1,
AFG_P2223,activity_input,"{""i"":""input_pointables""}",1,2,
AFG_P2223,activity_question,"{""q"":""menu"",""vg"":""""}",1,2,
AFG_P2223,activity_question,"{""q"":""q01"",""vg"":""""}",1,2,
AFG_P2223,activity_question,"{""q"":""switcher"",""vg"":""""}",1,1,
AFG_P2223,activity_question_set,"{""qs"":""set_intro""}",1,1,
AFG_P2223,activity_question_set,"{""qs"":""set_pointableExit""}",1,1,
AFG_P2223,activity_question_set,"{""qs"":""set_pointables""}",1,1,
AFG_P2223,activity_question_set,"{""qs"":""set_sb""}",1,1,
AFG_P2223,activity_sequence,"{""s"":""seq_BlankSequence""}",1,3,
AFG_P2223,activity_sequence,"{""s"":""seq_p2223_intro1""}",1,1,
AFG_P2223,activity_sequence,"{""s"":""seq_p2223_obj_building_right""}",1,1,
AFG_P2223,activity_sequence,"{""s"":""seq_p2223_obj_garbage_right""}",1,1,
AFG_P2223,activity_sequence,"{""s"":""seq_SuperKillSwitch""}",1,1,
AFG_P2223,activity_sequence,"{""s"":""seq_ui_hint2""}",1,1,
AFG_P2223,activity_sequence,"{""s"":""seq_ui_led_pointable_beamidle""}",1,4,
AFG_P2223,activity_sequence,"{""s"":""seq_ui_lifeline2""}",1,1,
AFG_P2223,activity_sequence,"{""s"":""seq_ui_sfx_bigbuttonofftask""}",1,1,
AFG_P2223,activity_sequence,"{""s"":""seq_ui_sfx_hover_enter""}",1,1,
AFG_P2223,activity_sequence,"{""s"":""seq_ui_sfx_hover_exit""}",1,1,
AFG_P2223,activity_sequence,"{""s"":""seq_ui_sfx_hover""}",1,1,
AFG_P2223,activity_sequence,"{""s"":""seq_ui_sfx_interrupt""}",1,1,
AFG_P2223,activity_sequence,"{""s"":""seq_ui_sfx_pageexit""}",1,1,
AFG_P2223,activity_sequence,"{""s"":""seq_ui_sfx_smallbutton""}",1,1,
AFG_P2223,wand_activity_end,"{""act"":""AFG_P2223"", ""ver"": 29, ""dev"": false}",1,1,
AFG_P2223,wand_activity_start,"{""act"":""AFG_P2223"", ""ver"": 29, ""dev"": false}",1,1,
AFG_Story_Activity,activity_answer,"{""a"":""input_auto""}",2,13,
AFG_Story_Activity,activity_answer,"{""a"":""input_large""}",2,4,
AFG_Story_Activity,activity_answer,"{""a"":""input_timeout""}",1,4,
AFG_Story_Activity,activity_answer,"{""a"":""p0000""}",1,1,
AFG_Story_Activity,activity_answer,"{""a"":""p1011""}",1,1,
AFG_Story_Activity,activity_answer,"{""a"":""p1415""}",1,1,
AFG_Story_Activity,activity_answer,"{""a"":""p1617""}",1,1,
AFG_Story_Activity,activity_answer,"{""a"":""p2223""}",1,1,
AFG_Story_Activity,activity_answer,"{""a"":""p2425""}",1,1,
AFG_Story_Activity,activity_back_button,,2,7,
AFG_Story_Activity,activity_iap,"{""ts"":""timers_cycleMenu_IAPs"",""ti"":0}",1,1,
AFG_Story_Activity,activity_iap,"{""ts"":""timers_interruptibleIntro_IAPs"",""ti"":0}",2,8,
AFG_Story_Activity,activity_iap,"{""ts"":""timers_interruptibleIntro_IAPs"",""ti"":1}",1,4,
AFG_Story_Activity,activity_iap,"{""ts"":""timers_storyAndChoose_IAPs"",""ti"":0}",2,7,
AFG_Story_Activity,activity_iap,"{""ts"":""timers_storyAndChoose_IAPs"",""ti"":1}",1,5,
AFG_Story_Activity,activity_iap,"{""ts"":""timers_storyAndChoose_IAPs"",""ti"":2}",1,1,
AFG_Story_Activity,activity_inference,"{""l"":""afg_p0000_two""}",1,1,1.00
AFG_Story_Activity,activity_inference,"{""l"":""afg_p0001_one""}",1,1,1.00
AFG_Story_Activity,activity_inference,"{""l"":""afg_p1011_one""}",1,2,2.00
AFG_Story_Activity,activity_inference,"{""l"":""afg_p1415_one""}",1,1,1.00
AFG_Story_Activity,activity_inference,"{""l"":""afg_p1617_one""}",1,1,1.00
AFG_Story_Activity,activity_inference,"{""l"":""afg_p2223_one""}",1,1,1.00
AFG_Story_Activity,activity_inference,"{""l"":""afg_p2425_one""}",1,1,1.00
AFG_Story_Activity,activity_inference_start,"{""m"":""afg_spreads""}",2,7,
AFG_Story_Activity,activity_input,"{""i"":""input_auto""}",2,13,
AFG_Story_Activity,activity_input,"{""i"":""input_large""}",2,16,
AFG_Story_Activity,activity_input,"{""i"":""input_spreadSelection""}",2,7,
AFG_Story_Activity,activity_question,"{""q"":""MenuItem1"",""vg"":""""}",1,1,
AFG_Story_Activity,activity_question,"{""q"":""sb_pageMode"",""vg"":""""}",2,6,
AFG_Story_Activity,activity_question,"{""q"":""spreadSelection_intro"",""vg"":""""}",2,8,
AFG_Story_Activity,activity_question,"{""q"":""spreadSelection_selection"",""vg"":""""}",2,7,
AFG_Story_Activity,activity_question,"{""q"":""storyReadAndChoice"",""vg"":""""}",2,6,
AFG_Story_Activity,activity_question,"{""q"":""Switcher"",""vg"":""""}",2,7,
AFG_Story_Activity,activity_question_set,"{""qs"":""set_cycleMenu""}",2,7,
AFG_Story_Activity,activity_question_set,"{""qs"":""set_spreadSelection""}",2,8,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_bg_music_p2425""}",1,2,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_BlankSequence""}",1,4,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_sb_menu_diffbook_prompt""}",1,1,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_story_p0000""}",1,1,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_story_p1011""}",1,1,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_story_p1213""}",1,1,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_story_p1415""}",1,1,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_story_p1617""}",1,1,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_story_p2223""}",1,1,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_story_p2425""}",1,1,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_SuperKillSwitch""}",2,17,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_ui_bookselected_prompt""}",1,1,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_ui_led_pointable_gentlepulseidle""}",1,1,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_ui_led_spreaddetection_beamidle""}",2,15,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_ui_makeachoice_nudge3""}",1,4,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_ui_pagescanned_nudge_nofacingpage""}",1,1,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_ui_pagescanned_nudge4a""}",1,5,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_ui_pagescanned_nudge4b""}",1,2,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_ui_sfx_makeachoice""}",1,5,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_ui_sfx_pageenter""}",1,1,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_ui_sfx_pageexit_short""}",2,6,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_ui_sfx_sb_menuenter""}",1,1,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_ui_sfx_sb_spread""}",2,6,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_ui_sfx_spreadDetectionInterrupt""}",2,3,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_ui_sfx_storyselected""}",2,6,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_ui_spreadselection_nudge1""}",1,1,
AFG_Story_Activity,activity_sequence,"{""s"":""seq_ui_spreadselection_nudge3""}",1,6,
AFG_Story_Activity,wand_activity_end,"{""act"":""AFG_Story_Activity"", ""ver"": 29, ""dev"": false}",1,1,
AFG_Story_Activity,wand_activity_start,"{""act"":""AFG_Story_Activity"", ""ver"": 29, ""dev"": false}",2,2,
ALZ_Story_Activity,activity_input,"{""i"":""input_large""}",305,19571,64.167
